EVA_NR,DS100,IFOPT,NAME,VERKEHR,STATUS
8000001,KA,de:05334:1008,Aachen Hbf,FV,
8000002,TA,de:08136:1000,Aalen Hbf,FV,
8000004,HA,de:05774:7131,Altenbeken,FV,
8000009,NAN,de:09561:11000,Ansbach,FV,
8000010,NAH,de:09661:99082,Aschaffenburg Hbf,FV,
8000013,MA,de:09761:100,Augsburg Hbf,FV,
8000014,TAU,de:08436:1000,Aulendorf,FV,
8000020,FBHF,de:06632:202026,Bad Hersfeld,FV,
8000025,NBA,de:09461:20010,Bamberg,FV,
8000026,RB,ch:23005:6,Basel Bad Bf,FV,
8000027,NSCH,de:09376:7410,Schwandorf,FV,
8000029,FB,de:06632:202110,Bebra,FV,
8000031,FBH,de:06431:236,Bensheim,FV,
8000036,EBILP,de:05711:5500,Bielefeld Hbf,FV,
8000039,FBGK,de:07339:8183,Bingen(Rhein) Hbf,FV,
8000041,EBO,de:05911:5194,Bochum Hbf,FV,
8000044,KB,de:05314:61101,Bonn Hbf,FV,
8000045,KBOP,de:07140:10154,Boppard Hbf,FV,
8000049,HBS,de:03101:178,Braunschweig Hbf,FV,
8000050,HB,de:04011:13927,Bremen Hbf,FV,
8000055,RBR,de:08215:1856,Bruchsal,FV,
8000057,MBU,de:09777:1000,Buchloe,FV,
8000058,ABCH,de:01053:8000058,Büchen,FV,
8000059,HBDE,de:05758:1120,Bünde(Westf),FV,
8000064,HC,de:03351:50,Celle,FV,
8000067,TC,de:08127:21001,Crailsheim,FV,
8000068,FD,de:06411:4734,Darmstadt Hbf,FV,
8000070,HD,de:03401:19646,Delmenhorst,FV,
8000073,RSI,de:08335:6588,Singen(Hohentwiel),FV,
8000076,ESOT,de:05974:11246,Soest,FV,
8000077,RDO,de:08326:6537,Donaueschingen,FV,
8000078,MDT,de:09779:5500,Donauwörth,FV,
8000080,"EDO,EDO N",de:05913:131,Dortmund Hbf,FV,
8000082,"KDFF,KDFFH",de:05111:18488,Düsseldorf Flughafen,FV,
8000084,"KDN,KDN P",de:05358:2286,Düren,FV,
8000085,KD,de:05111:18235,Düsseldorf Hbf,FV,
8000086,EDG,de:05112:16032,Duisburg Hbf,FV,
8000087,KSO,de:05122:13800,Solingen Hbf,FV,
8000091,NSTN,de:09575:14350,Steinach(b Rothenburg ob der Tauber),FV,
8000092,AEL,de:01056:97960,Elmshorn,FV,
8000093,HELZ,de:03254:21616,Elze(Han),FV,
8000095,NST,de:09263:2600,Straubing,FV,
8000096,TS,de:08111:6115,Stuttgart Hbf,FV,
8000098,EE,de:05113:9289,Essen Hbf,FV,
8000103,AF,de:01001:27253,Flensburg,FV,
8000105,FF,de:06412:10,Frankfurt(Main)Hbf,FV,
8000107,RF,de:08311:6508,Freiburg(Breisgau) Hbf,FV,
8000108,MFL,de:09172:42293,Freilassing,FV,
8000111,FFG,de:06440:6401,Friedberg(Hess),FV,
8000112,TF,de:08435:44002,Friedrichshafen Stadt,FV,
8000114,NF,de:09563:2110,Fürth(Bay)Hbf,FV,
8000115,FFU,de:06631:11049,Fulda,FV,
8000116,MTS,de:09189:41179,Traunstein,FV,
8000118,EG,de:05513:5613,Gelsenkirchen Hbf,FV,
8000119,MGE,de:09181:502,Geltendorf,FV,
8000122,MTL,de:09577:16200,Treuchtlingen,FV,
